,caseNumber,gender,age,activity
723,2012.11.19,M,14,Surfing
724,2012.11.04.b,M,30,Diving
725,2012.11.04.a,M,43,Surfing
726,2012.10.30,M,25,Surfing
727,2012.10.27,F,51,Swimming
728,2012.10.23,M,39,Surfing
729,2012.10.19,F,35,
730,2012.10.18.b,M,24,Surfing
731,2012.10.18.a,M,55,Paddle boarding
732,2012.10.16,M,,
733,2012.10.11.R,F,38,Bathing
734,2012.10.07,M,42,Windsurfing
735,2012.10.02,M,11,Bodyboarding
736,2012.09.25,M,21,Surfing
737,2012.09.24,M,22,Surfing
738,2012.09.16,M,52,Surfing
739,2012.09.10,F,29,Swimming
740,2012.09.09,,19,Surfing
741,2012.09.08.b,M,25,Surfing
742,2012.09.08.a,M,,Swimming
743,2012.09.06.b,M,30s,Surfing
744,2012.09.06.a,M,37,Surfing
745,2012.09.04,M,32,Surfing
746,2012.09.02.b,F,8,Boogie boarding
747,2012.09.02.b,,,Spearfishing
748,2012.09.02.a,F,56,Swimming or boogie boarding
749,2012.08.31,M,53,Shark fishing
750,2012.08.28,M,34,Surfing
751,2012.08.26,M,18,Swimming
752,2012.08.15,M,31,Wading or swimming
753,2012.08.11,,,Fishing
754,2012.08.09,M,56,Free diving 
755,2012.08.05,M,39,Surfing
756,2012.08.04,M,,Spearfishing
757,2012.07.31.b,M,17,Surfing
758,2012.07.31.a,M,48,Surfing
759,2012.07.30.b,M,44,Surfing
760,2012.07.30.a,M,50,Body surfing
761,2012.07.24,M,12,
762,2012.07.23,M,22,Surfing
763,2012.07.21,M,24,Swimming
764,2012.07.19,F,23,Surfing
765,2012.07.14,M,24,Surfing
766,2012.07.08,F,43,Swimming
767,2012.07.07.c,M,,Spearfishing
768,2012.07.07.b,F,42,Scuba diving
769,2012.07.07.a,M,52,Kayaking
770,2012.07.06,M,29,Surfing
771,2012.06.28.R,,60,Swimming
772,2012.06.26.c,M,6,Swimming
773,2012.06.26.b,M,26,Surfing
774,2012.06.26.a,F,16,Sitting in the water
775,2012.06.22.b,M,,Surfing
776,2012.06.22.a,M,12,Swimming
777,2012.06.20,M,62,Surf skiing 
778,2012.06.19,M,16,Standing
779,2012.06.18,F,6,Wading
780,2012.06.15,M,23,Fishing
781,2012.06.14.d,F,18,Swimming
782,2012.06.14.c,M,,Swimming
783,2012.06.14.b,M,,Swimming
784,2012.06.14.a,M,16,Swimming
785,2012.06.12,M,42,Surfing
786,2012.06.10,M,57,Attempting to rescue an injured & beached shark
787,2012.06.03,M,30,Surf skiing 
788,2012.06.02.b,F,12,Surfing
789,2012.06.02.a,M,25,Boogie Boarding
790,2012.05.31,F,33,Wading
791,2012.05.29,M,46,Free diving / spearfishing
792,2012.05.23,M,22,Surfing
793,2012.05.20,M,,Kayak Fishing
794,2012.05.16,M,20,Spearfishing
795,2012.05.12,M,30,Kayaking / Fishing
796,2012.05.09,F,47,Swimming
797,2012.05.06,F,15,Paddle boarding
798,2012.04.19.b,M,28,Surfing
799,2012.04.19.a,M,20,Body boarding
800,2012.04.11,M,27,Kayaking
801,2012.04.03,M,28,Surfing
802,2012.04.00,M,,
803,2012.03.31,M,33,Scuba diving
804,2012.03.24,M,21,Surfing
805,2012.03.22,,,Crayfishing
806,2012.03.20,M,20,Surfing
807,2012.03.15,M,61,Surfing
808,2012.03.14.b,F,15,Surfing
809,2012.03.14.a,M,17,Surfing
810,2012.03.06.b,M,,Surfing
811,2012.03.06.a,F,34,"Diving, feeding sharks"
812,2012.03.05,M,31,Body boarding
813,2012.03.04,M,19,Kite Surfing
814,2012.03.03,M,42,Attempting to Kite surf from Egypt to Saudi Arabia
815,2012.03.01,M,,Fishing (illegally)
816,2012.02.26,M,,Kite Surfing
817,2012.02.25,M,,Fishing
818,2012.02.20,,,Fishing
819,2012.02.06,M,29,Surfing
820,2012.01.27,,,Snorkeling
821,2012.01.19,M,26,Snorkeling
822,2012.01.22.R,M,,"Diving, photographing sharks"
823,2012.01.18.b,M,24,Fishing
824,2012.01.18.a,M,44,Surfing
825,2012.01.15,M,25,Swimming
826,2012.01.13,M,53,Surfing
827,2012.01.03,M,28,Surfing
828,2012.01.02,M,34,Spearfishing
829,2011.12.31,M,,
830,2011.12.26.R,M,,Swimming
831,2011.12.25,M,23,Surfing
832,2011.12.23,M,27,Surfing
833,2011.12.21.b,M,,Canoeing
834,2011.12.21.a,M,35,Kayak Fishing
835,2011.12.11,M,51,Surfing
836,2011.12.07.b,M,,Surf skiing 
837,2011.12.07.a,M,14,Surfing
838,2011.12.06,F,,Surfing
839,2011.12.05,,,Spearfishing
840,2011.12.02,M,63,Surfing
841,2011.11.29,M,18,Surfing
842,2011.11.28,M,10,Swimming
843,2011.11.22,M,,Kayaking
844,2011.11.20.R,M,,Scuba diving
845,2011.11.12,M,35,Surfing
846,2011.11.11,M,42,Free diving / spearfishing
847,2011.10.29.,M,27,Surfing
848,2011.10.28.R,M,26,Surfing
849,2011.10.28.,,,Diving
850,2011.10.22,M,32,Diving
851,2011.10.20,M,41,Surfing
852,2011.10.19,M,50,Diving
853,2011.10.11,M,,Surfing
854,2011.10.10,M,,Surfing
855,2011.10.09,M,64,Swimming
856,2011.10.05,M,51,Canoeing
857,2011.10.02,M,,Wade fishing
858,2011.10.01,M,29,
859,2011.09.30,M,27,Surfing
860,2011.09.28.b,M,48,Fishing
861,2011.09.28.a,M,43,Swimming
862,2011.09.24.b,M,21,Spearfishing
863,2011.09.24.a,M,5,Jumping in the waves
864,2011.09.20,M,,Canoeing
865,2011.09.19,M,38,Body boarding
866,2011.09.17,M,17,Swimming
867,2011.09.16,M,25,Surfing
868,2011.09.11.b,M,37,Surfing
869,2011.09.11.a,M,30,Kite Surfing
870,2011.09.04.b,,,Surfing
871,2011.09.04.a,M,21,Body boarding
872,2011.09.02,M,19,Surfing
873,2011.08.31,M,19,Surfing
874,2011.08.28.b,M,48,Swimming
875,2011.08.28.a,F,39,Wade Fishing
876,2011.08.26,M,,"Standing, collecting sea stars"
877,2011.08.24.b,M,21,Surfing
878,2011.08.24.a,M,10,
879,2011.08.23,M,49,Surfing
880,2011.08.18,M,16,Swimming
881,2011.08.17.c.,F,20s,Wading
882,2011.08.17.b.,M,12,
883,2011.08.17.a,M,25,Swimming
884,2011.08.16.c,M,32,Surfing
885,2011.08.16.b,M,27,Floating 
886,2011.08.16.a,M,30,Swimming or Snorkeling
887,2011.08.15,M,7,Playing in the surf
888,2011.08.11,M,54,Swimming
889,2011.08.01,M,36,Diving
890,2011.07.31,M,14,Swimming
891,2011.07.30,M,43,Sea disaster
892,2011.07.25,M,,Wade Fishing
893,2011.07.22,M,29,Surfing
894,2011.07.19,F,6,Boogie Boarding
895,2011.07.15,M,,Kayaking or Wave skiing
896,2011.07.13.b,M,,Surf fishing
897,2011.07.13.a,M,54,Scuba diving
898,2011.07.07.b,M,12,Swimming
899,2011.07.07.a,M,14,Wade Fishing
900,2011.07.06,M,16,Surfing
901,2011.07.05,M,17,Kayaking
902,2011.06.30,M,28,Snorkeling
903,2011.06.29,M,21,Surfing
904,2011.06.28,M,22,Scuba diving
905,2011.06.26,F,10,Playing in the surf
906,2011.06.24,M,,Surfing
907,2011.06.21,M,20,Jet skiing
908,2011.06.19.b,M,35,Spearfishing
909,2011.06.19.a,M,15,Surfing
910,2011.06.15,M,31,Boogie Boarding
911,2011.06.14.R,,,Fishing
912,2011.06.12,M,28,Scuba diving
913,2011.06.06.R,M,24,Spearfishing
914,2011.06.06.b,M,28,Spearfishing
915,2011.06.06.a,M,19,Wading
916,2011.06.01,F,,Snorkeling
917,2011.05.30,F,22,Standing or boogie boardin
918,2011.05.29,M,33,Surfing
919,2011.05.25,F,,Surfing
920,2011.05.22,F,,Paddle boarding
921,2011.05.21.b,M,28,Spearfishing
922,2011.05.13.b,M,86,Body surfing
923,2011.05.21.a,M,15,Kite Boarding
924,2011.05.13.a,M,37,Surfing
925,2011.05.10,M,,Fishing 
926,2011.05.07.R,M,43,Fishing 
927,2011.05.04,M,37,Spearfishing
928,2011.04.26,M,32,Spearfishing
929,2011.04.23,M,17,Washing sand off a speared fish
930,2011.04.22,M,49,Surfing 
931,2011.04.16,M,41,Surfing
932,2011.04.12,M,,Surfing
933,2011.04.08,M,27,Diving
934,2011.03.29.R,M,,"Standing, holding shark pup"
935,2011.03.24,F,,Swimming
936,2011.03.23,M,48,Surfing
937,2011.03.21.b,M,46,Swimming
938,2011.03.21.a,M,30,Diving / fishing
939,2011.03.16,F,24,Wakeboarding
940,2011.03.10.R,F,,
941,2011.03.10,M,,Surfing
942,2011.02.28.R,M,36,Fishing
943,2011.02.23,M,21,Spearfishing
944,2011.02.19,M,32,Surfing
945,2011.02.17,M,49,Diving for abalone
946,2011.02.13,M,,Fishing
947,2011.02.12,M,58,Snorkeling
948,2011.02.04.R,M,,Shark fishing on the Ricardo Astorga
949,2011.02.02,M,37,Surf fishing
950,2011.01.31,F,38,Swimming
951,2011.01.28,M,25,Shark fishing on the Don Agustín-VI. 
952,2011.01.26,M,55,Scuba diving
953,2011.01.20,F,7,Swimming
954,2011.01.15,M,16,Surfing
955,2011.01.12.R,M,37,Attempting to fix motor
956,2011.01.03,,,Fishing
957,2010.12.26,M,16,Body boarding
958,2010.12.17,M,,Surfing
959,2010.12.11,M,46,Surfing
960,2010.12.05,F,70,Snorkeling
961,2010.12.03.R,M,,Surfing
962,2010.12.01.b,M,54,Snorkeling
963,2010.12.01.a,M,46,Snorkeling
964,2010.11.30.b,F,70,Snorkeling
965,2010.11.30.a,F,48,Snorkeling
966,2010.11.27.R,M,47,Fishing
967,2010.11.27,M,,Swimming
968,2010.11.19,M,33,Snorkeling
969,2010.11.15,M,21,Diving
970,2010.11.14,M,,Surfing
971,2010.11.12.R,M,,Fishing
972,2010.10.30,F,20,Snorkeling
973,2010.10.28.R,M,,Spearfishing
974,2010.10.28,M,,Surfing
975,2010.10.25,M,,Fishing
976,2010.10.23.b,M,30,Scuba diving
977,2010.10.23.a,M,14,Kite Surfing
978,2010.10.22,M,19,Body boarding
979,2010.10.20,F,,Snorkeling
980,2010.10.09,M,22,Surfing
981,2010.10.02.b,M,,Snorkeling
982,2010.10.02.a,F,,Surfing
983,2010.10.01,M,Teen,Surfing
984,2010.09.27,M,29,Surfing
985,2010.09.24,M,18,Surfing
986,2010.09.21,M,29,Swimming
987,2010.09.13,M,15,Surfing
988,2010.09.07,M,27,Swimming
989,2010.09.06.R,M,24,Swimming /  Whale Watching
990,2010.09.04,M,,Surfing
991,2010.09.03.b,M,24,Surfing
992,2010.09.03.a,M,24,Surfing
993,2010.09.02,M,34,
994,2010.08.29,M,43,Swimming after boat became disabled
995,2010.08.18,M,10,Boogie Boarding
996,2010.08.17,M,31,Surfing
997,2010.08.14,M,45,Kayak Fishing
998,2010.08.10.b,F,,Fishing
999,2010.08.10,F,16,Swimming
1000,2010.08.08,M,47,Surfing
1001,2010.08.07.b,M,25,Surfing
1002,2010.08.07.a,M,35,Windsurfing
1003,2010.08.05,F,,Swimming
1004,2010.08.02.b,M,,Kayaking
1005,2010.08.02.a,F,37,Standing
1006,2010.07.25,M,16,Standing
1007,2010.07.23,M,20,Surfing
1008,2010.07.19,M,10,Swimming
1009,2010.07.17.b,F,13,Swimming
1010,2010.07.17.a,M,55,Surfing
1011,2010.07.16.b,M,9,Swimming
1012,2010.07.16.a,M,,Fishing
1013,2010.07.11,M,,Fishing
1014,2010.07.04,F,21,Snorkeling
1015,2010.07.03,M,20,Fishing
1016,2010.07.02.b,M,19,Surfing
1017,2010.07.02.a,M,48,Stand-Up Paddleboarding
1018,2010.06.27,M,20,Surfing
1019,2010.06.25.b,F,6,Boogie Boarding
1020,2010.06.25.a,F,13,Swimming
1021,2010.06.15,M,17,Swimming
1022,2010.06.10,F,18,Boogie Boarding
1023,2010.06.06,M,40,Surfing
1024,2010.06.00,M,20,Surfing
1025,2010.05.30,M,49,Fishing
1026,2010.05.18.c,F,58,Rescuing
1027,2010.05.18.b,F,60,Swimming
1028,2010.05.18.a,M,,Surfing
1029,2010.05.03,M,59,Scuba diving
1030,2010.05.01,F,10,Wading
1031,2010.04.28,M,29,Measuring sharks
1032,2010.04.19,M,68,Surfing
1033,2010.04.13,M,35,Surfing
1034,2010.04.04,M,24,Swimming / treading water
1035,2010.03.27,M,34,Surfing
1036,2010.02.19,M,,Swimming
1037,2010.02.16,M,,Surfing
1038,2010.02.15,M,19,Scuba diving
1039,2010.02.13,F,60,Snorkeling
1040,2010.02.11,M,46,Surfing
1041,2010.02.06.R,M,,Spearfishing
1042,2010.02.06.b,M,18,Body boarding
1043,2010.02.06.a,M,,Surf fishing / wading
1044,2010.02.04,M,31,Spearfishing (free diving)
1045,2010.02.03,M,38,Kite Boarding
1046,2010.02.01,F,14,Boogie Boarding
1047,2010.01.30,M,29,Surfing
1048,2010.01.27,M,,Surfing
1049,2010.01.22.b,M,54,Surfing
1050,2010.01.22.a,M,,Surfing
1051,2010.01.12,M,37,Standing
1052,2010.01.09.d,F,9,Snorkeling
1053,2010.01.09.c,F,,
1054,2010.01.09.b,M,,
1055,2010.01.09.a,M,,Bathing
1056,2010.01.06,M,32,Spearfishing
1057,2010.01.05,M,,Surfing
1058,2009.12.29,M,20,Wading
1059,2009.12.26,M,55,Swimming
1060,2009.12.22,M,27,Swimming
1061,2009.12.20.b,M,,Kayaking
1062,2009.12.20.a,M,18,Spearfishing
1063,2009.12.18,M,22,Paddling on kneeboard
1064,2009.12.18,M,,Surfing
1065,2009.12.16,M,24,Swimming to shore from capsized kayak
1066,2009.12.13,M,39,Surfing
1067,2009.12.12,,,Rowing
1068,2009.12.06,M,58,Diving
1069,2009.11.25,M,49,Surfing
1070,2009.11.24,M,10,Wading
1071,2009.11.16.b,M,31,Fishing
1072,2009.11.16.a,M,22,Surfing
1073,2009.11.13,F,27,Surfing
1074,2009.11.11,M,18,Surfing
1075,2009.11.08,M,25,Kayaking
1076,2009.11.05,M,21,Surfing
1077,2009.10.30,M,27,Kayaking
1078,2009.10.29.R,M,,Spearfishing
1079,2009.10.28,F,17,Paddle-boarding
1080,2009.10.24,M,,Surfing
1081,2009.10.19,M,54,Surfing
1082,2009.10.18,F,10,Wading
1083,2009.10.17,M,23,Diving
1084,2009.10.14.R,M,23,Diving
1085,2009.10.09,M,,Surfing
1086,2009.10.02,M,39,Fishing
1087,2009.09.26,M,,Swimming
1088,2009.09.18,M,,
1089,2009.09.15,M,,Fishing
1090,2009.09.13,M,34,
1091,2009.09.12,M,60,Swimming
1092,2009.09.07,M,15,"Swimming, attempting to rescue a girl  believed to be drowning"
1093,2009.09.02,M,,Swimming
1094,2009.09.01,M,,Fishing
1095,2009.08.30,M,,Surfing
1096,2009.08.29,M,25,Surfing
1097,2009.08.25,F,22,Swimming
1098,2009.08.11,M,,Body boarding
1099,2009.08.10,M,26,Swimming
1100,2009.08.06,M,,Surfing
1101,2009.08.01,M,56,Wade Fishing
1102,2009.07.31,M,14,Spearfishing
1103,2009.07.30,M,14,Surfing
1104,2009.07.29,F,41,Swimming
1105,2009.07.24.R,M,,Washing his feet
1106,2009.07.24.b,F,14,Wading
1107,2009.07.24.a,F,11,Swimming
1108,2009.07.22.b,F,26,Swimming
1109,2009.07.22.a,F,19,Swimming
1110,2009.07.18,M,57,Swimming
1111,2009.07.11.b,M,,Spearfishing
1112,2009.07.11.a,M,,Paddle-surfing
1113,2009.07.07,M,37,Surfing
1114,2009.07.05,F,12,Boogie Boarding
1115,2009.07.04,F,43,Swimming
1116,2009.06.27,M,52,Surfing
1117,2009.06.21,M,26,Surfing
1118,2009.06.16,M,14,Crawling
1119,2009.06.14.R,M,,Fishing for sharks
1120,2009.06.02.b,M,,Scuba diving
1121,2009.06.02.a,M,,Scuba diving
1122,2009.06.01,F,50,Snorkeling
1123,2009.05.31,M,46,Fishing
1124,2009.05.25,M,,Swimming
1125,2009.05.17,M,31,Surfing
1126,2009.05.16.b,M,49,Surfing
1127,2009.05.16.a,M,55,Surfing
1128,2009.05.12,M,27,Spearfishing
1129,2009.05.06,M,48,Spearfishing
1130,2009.04.28,F,,
1131,2009.04.25.R,M,,Surfing
1132,2009.04.21,M,20,Surfing
1133,2009.04.20,M,23,Swimming
1134,2009.04.19,M,52,Surfing
1135,2009.04.17.,M,31,Surfing
1136,2009.04.11,M,49,Spearfishing
1137,2009.04.12,M,40,Surf skiing 
1138,2009.04.06.b,M,24,Swimming
1139,2009.04.06.a,M,,Spearfishing
1140,2009.04.03,M,15,Wading
1141,2009.03.27,M,59,Fishing 
1142,2009.03.21,M,16,Surfing
1143,2009.03.20,M,17,Surfing
1144,2009.03.19.b,M,,Surfing
1145,2009.03.19.a,F,,Surfing
1146,2009.03.18.a,F,17,Surfing
1147,2009.03.17.R,F,,Feeding fish
1148,2009.03.17,M,61,Swimming
1149,2009.03.16.R,M,21,Wading
1150,2009.03.06,M,19,Surfing
1151,2009.03.02,M,40,Fishing
1152,2009.03.01.b,M,,Fishing
1153,2009.03.01.a,M,15,Surfing
1154,2009.02.22,M,,Fishing
1155,2009.02.18,M,,Surfing
1156,2009.02.12,M,33,Surfing
1157,2009.02.11,M,31,"Diving, but on the surface when bitten by the shark"
1158,2009.02.08,M,,Air Disaster
1159,2009.02.07.b,M,41,Surfing
1160,2009.02.07.a,M,,Surfing
1161,2009.01.27.R,M,49,Fishing
1162,2009.01.26.R,M,17,
1163,2009.01.25,M,15,Spearfishing
1164,2009.01.24.c,,,Fishing
1165,2009.01.24.b,M,19,Swimming
1166,2009.01.24.a,M,25,Swimming
1167,2009.01.23,M,17,Swimming
1168,2009.01.18,M,,Fishing
1169,2009.01.16,M,,Surfing
1170,2009.01.13.R,,,
1171,2009.01.12,M,24,Snorkeling
1172,2009.01.11.b,F,13,Surfing
1173,2009.01.11.a,M,31,Surfing
1174,2009.01.10.R,,,Fishing
1175,2009.01.10.a,M,22,Surfing
1176,2009.01.06,M,49,Swimming
1177,2009.01.00,,,Spearfishing
1178,2008.12.30,,,Crabbing
1179,2008.12.27.d,,,Yacht race
1180,2008.12.27.c,M,10,Boogie Boarding
1181,2008.12.27.b,M,29,Kayaking
1182,2008.12.27.a,M,51,Snorkeling
1183,2008.12.20,M,,Kayaking
1184,2008.12.14,M,,Fishing
1185,2008.12.10,M,15,Fishing
1186,2008.12.06,,,Fishing
1187,2008.12.00,M,,Spearfishing
1188,2008.11.28,F,,Scuba diving
1189,2008.11.25,M,,Sinking of the cargo ship Mark Jason
1190,2008.11.24,F,,
1191,2008.11.09.b,M,,Fishing
1192,2008.11.09.a,M,45,Fishing boat swamped in storm
1193,2008.11.06,M,39,Fishing
1194,2008.10.22,M,34,Scuba diving
1195,2008.10.21,M,24,Spearfishing
1196,2008.10.12,M,50,Fishing
1197,2008.10.11,M,15,Surfing
1198,2008.10.08,M,11,Fishing
1199,2008.10.06,M,43,Spearfishing
1200,2008.09.28.b,M,44,Surfing
1201,2008.09.28.a,M,40,Surfing
1202,2008.09.15,M,43,Swimming
1203,2008.09.14,M,32,Swimming
1204,2008.09.09,M,40,Surfing
1205,2008.09.08,M,,Surfing
1206,2008.09.07,M,51,Surfing
1207,2008.09.06.b,M,43,Surfing
1208,2008.09.06.a,M,15,Surfing
1209,2008.09.01,M,52,Surfing
1210,2008.09.00,M,,Surfing
1211,2008.08.30.c,M,29,Surfing
1212,2008.08.30.b,M,27,Swimming
1213,2008.08.30.a,M,52,Fishing
1214,2008.08.28,M,19,Surfing
1215,2008.08.27,M,26,Surfing
1216,2008.08.24,M,20,"Swimming, towing surfboard"
1217,2008.08.22,F,20,Surfing
1218,2008.08.20,M,47,Swimming
1219,2008.08.18,M,7,
1220,2008.08.16,F,38,Treading water
1221,2008.08.12,F,13,Wading
1222,2008.08.11,M,,Diving
1223,2008.07.30.R,M,31,Surfing
1224,2008.07.30,M,,
1225,2008.07.27,M,,Swimming or surfing
1226,2008.07.26.b,M,33,Swimming
1227,2008.07.26.a,M,,Swimming
1228,2008.07.25.b,M,17,Surfing
1229,2008.07.25.a,F,44,Snorkeling
1230,2008.07.24.b,M,9,Wading
1231,2008.07.24.a,F,8,Wading
1232,2008.07.23,M,15,Surfing
1233,2008.07.19,M,16,Wading
1234,2008.07.18,M,,Diving
1235,2008.07.13,M,52,Body surfing
1236,2008.07.11,M,24,Surfing
1237,2008.07.09,F,14,Swimming
1238,2008.07.05,F,17,
1239,2008.07.00,M,16,Rowing an inflatable dinghy
1240,2008.06.28.c,M,53,Wading
1241,2008.06.28.b,M,42,Spearfishing
1242,2008.06.28.a,M,46,Surf skiing 
1243,2008.06.26.R,M,,Spearfishing (free diving)
1244,2008.06.26.b,M,29,Surfing
1245,2008.06.26.a,M,37,Swimming
1246,2008.06.24,M,,Surfing
1247,2008.06.21,F,40,Kayaking
1248,2008.06.20,F,35,Wading
1249,2008.06.11,M,14,Surfing
1250,2008.06.07,M,40,Body surfing
1251,2008.06.02.R,,,Fishing
1252,2008.06.01.b,F,15,Body surfing
1253,2008.06.01.a,M,14,Swimming
1254,2008.05.26,M,9,Surfing
1255,2008.05.24.b,M,,Sea Disaster
1256,2008.05.24.a,M,49,Surfing
1257,2008.05.23,M,21,Surfing
1258,2008.05.14,M,28,Night diving
1259,2008.05.10,M,37,Swimming
1260,2008.05.07.b,M,40,Fishing
1261,2008.05.07.a,M,6,Wading
1262,2008.05.01,M,24,Fishing
1263,2008.04.28.b,M,24,Surfing
1264,2008.04.28.a,M,18,Surfing
1265,2008.04.27,M,24,Surfing
1266,2008.04.26.b,M,32,Swimming
1267,2008.04.26.a,M,21,Surfing
1268,2008.04.25,M,66,Swimming
1269,2008.04.20.b,M,14,Surfing
1270,2008.04.20.a,M,,
1271,2008.04.19.R,M,,Free-diving
1272,2008.04.18,M,32,Swimming
1273,2008.04.17,M,19,Surfing
1274,2008.04.15,M,30,Surfing
1275,2008.04.09.R,M,,Spearfishing
1276,2008.03.25,M,15,Wading
1277,2008.04.08.R,,,Surfing
1278,2008.04.08,M,16,Body boarding
1279,2008.04.03,M,18,Walking out of the water after surfing
1280,2008.03.28.c,M,39,Fishing from surfski
1281,2008.03.28.b,M,52,Surfing
1282,2008.03.28.a,M,,Boogie Boarding
1283,2008.03.23,M,13,Walking out of the water after surfing
1284,2008.03.21,M,14,Wading
1285,2008.03.15,M,8,Jet skiing
1286,2008.03.07,M,27,Surfing
1287,2008.02.24,M,49,Diving
1288,2008.02.21.R,M,26,Spearfishing
1289,2008.02.15,M,25,Surfing
1290,2008.02.07,F,14,Surfing
1291,2008.02.06,M,,Surf-skiing
1292,2008.01.30,M,,Diving
1293,2008.01.29,M,42,Surf-skiing
1294,2008.01.27,M,20,Accidentally stood on hooked shark's tail before attempting to gut it 
1295,2008.01.19.R,M,,Wading
1296,2008.01.14,,,Attempting to chase shark out to sea
1297,2008.01.10,M,20,Surfing
1298,2008.00.00.b,M,,Fishing for snapper
1299,2008.00.00.a,M,26,Surfing
1300,2007.12.21,M,24,Surfing
1301,2007.12.19,M,53,Scuba diving
1302,2007.12.18,M,31,Surfing
1303,2007.12.15,M,teen,Swimming
1304,2007.12.14,M,34,Swimming
1305,2007.12.10,M,52,Surfing
1306,2007.12.09,F,,Surfing
1307,2007.12.07,M,28,Removing fish from a trap
1308,2007.11.18,M,32,Fishing
1309,2007.11.08,M,,Surfing
1310,2007.11.07,M,14,Surfing
1311,2007.11.06,M,21,Surfing
1312,2007.11.04,M,42,Surfing
1313,2007.11.03,M,37,Surfing
1314,2007.11.00,M,,Shark diving
1315,2007.10.29,M,32,Floating
1316,2007.10.15,F,52,Surf-skiing
1317,2007.10.13,M,31,Spearfishing
1318,2007.10.07,M,22,Surfing
1319,2007.10.06,M,16,Surfing
1320,2007.09.30.c,M,,Surfing
1321,2007.09.30.b,M,,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas "
1322,2007.09.30.a,F,23,Swimming
1323,2007.09.28,F,48,Spearfishing
1324,2007.09.27.b,F,,Surfing
1325,2007.09.27.a,F,18 or 20,Swimming
1326,2007.09.22.b,F,,Scuba diving
1327,2007.09.22.a,F,,Surfing
1328,2007.09.20,M,23,Surfing
1329,2007.09.17,M,,Spearfishing
1330,2007.09.16.b,M,56,Wading?
1331,2007.09.16.a,F,Teen,Surfing
1332,2007.09.13,M,14,Snorkeling
1333,2007.09.08,F,58,Wading
1334,2007.09.05,F,36,Wading
1335,2007.09.04,M,15,Standing
1336,2007.09.03.b,F,12,Jumping
1337,2007.09.03.a,M,58,Swimming
1338,2007.08.28.b,M,15,Body boarding
1339,2007.08.28.a,M,24,Surfing
1340,2007.08.26,M,54,Surfing
1341,2007.08.25,M,27,Surfing
1342,2007.08.22,M,,Diving
1343,2007.08.20,M,,Fishing
1344,2007.08.19.c,M,52,Swimming
1345,2007.08.19.b,M,16,Surfing
1346,2007.08.19.a.,M,7,Playing
1347,2007.08.15,M,20,Floating near boat & observing bioluminesce
1348,2007.08.12,F,15,Swimming
1349,2007.08.11,M,19,Walking out of the water after surfing
1350,2007.08.09.b,M,30,Swimming
1351,2007.08.09.a,M,9,Boogie Boarding
1352,2007.08.07,F,19,Jumped into the water
1353,2007.07.29,M,51,Surfing
1354,2007.07.28,M,20,Surfing
1355,2007.07.22,M,,Surf paddling
1356,2007.07.21,M,,Kayak Fishing
1357,2007.07.19.b,M,36,Snorkeling
1358,2007.07.19.a,M,15,Wading
1359,2007.07.18.b,M,14,Swimming
1360,2007.07.18.a,M,48,Scuba diving
1361,2007.07.17.b,F,43,Swimming
1362,2007.07.17.a,F,30,Wading
1363,2007.07.10,F,48,Spearfishing
1364,2007.07.05,M,18,Surfing
1365,2007.07.04,M,17,Body boarding
1366,2007.07.00,,,Murder
1367,2007.06.30.b,M,,Removing hook from shark
1368,2007.06.30.a,F,,Swimming
1369,2007.06.25,M,20,Surfing
1370,2007.06.24,M,,Surfing
1371,2007.06.17,F,9,Surfing
1372,2007.06.12,F,,Swimming
1373,2007.06.05,M,,Surfing
1374,2007.05.26,F,,Wading
1375,2007.05.24,F,40,Reviving a sedated shark
1376,2007.05.17.R,M,38,Fishing
1377,2007.05.16,F,38,Wading
1378,2007.05.12,M,19,Surfing
1379,2007.05.10,F,21,Surfing
1380,2007.05.09.R,M,,Snorkeling
1381,2007.05.08,M,45,Swimming
1382,2007.05.07.b,F,63,Snorkeling
1383,2007.05.07.a,M,68,Swimming
1384,2007.05.04,,,Sea Disaster
1385,2007.05.00,F,20,Shark tagging
1386,2007.04.26,F,13,Swimming / jumping off a jetty
1387,2007.04.22,M,12,Body boarding
1388,2007.04.20,M,24,Surfing
1389,2007.04.13.R,,,Fishing
1390,2007.04.09,M,26,Surfing
1391,2007.04.01,M,7,Playing on a sandbar
1392,2007.03.31.b,M,27,Surfing
1393,2007.03.31.a,M,9,
1394,2007.03.22,,,Murder
